baseAsset,maxMarketOrderQty,minMarketOrderQty,minOrderValue,minTickSize,minTradeAmount,quoteAsset
EDO,178900,,0.01,0.000001,0.01,ETH
NAV,2144400,,0.0001,0.00000001,1,BTC
NAV,250300,,0.01,0.000001,0.01,ETH
NAV,43600,,0.1,0.000001,1,BNB
LUN,279800,,0.0001,0.0000001,0.01,BTC
APPC,6279600,,0.0001,0.00000001,1,BTC
APPC,2519600,,0.01,0.0000001,1,ETH
APPC,556300,,0.1,0.000001,1,BNB
VIBE,5029300,,0.0001,0.00000001,1,BTC
VIBE,2290000,,0.01,0.0000001,1,ETH
RLC,785100,,0.0001,0.00000001,1,BTC
RLC,176700,,0.01,0.000001,0.01,ETH
RLC,33100,,0.1,0.00001,0.1,BNB
INS,3027300,,0.0001,0.00000001,1,BTC
INS,397000,,0.01,0.000001,0.01,ETH
PIVX,889800,,0.0001,0.00000001,1,BTC
PIVX,222100,,0.01,0.000001,0.01,ETH
PIVX,28100,,0.1,0.00001,0.1,BNB
IOST,49930700,,0.0001,0.00000001,1,BTC
IOST,17963200,,0.01,0.00000001,1,ETH
STEEM,1199600,,0.0001,0.00000001,1,BTC
STEEM,312100,,0.01,0.000001,0.01,ETH
STEEM,75600,,0.1,0.00001,0.1,BNB
NANO,2262900,,0.0001,0.0000001,0.01,BTC
NANO,294900,,0.01,0.000001,0.01,ETH
NANO,89000,,0.1,0.00001,0.1,BNB
VIA,623500,,0.0001,0.00000001,1,BTC
VIA,93600,,0.01,0.000001,0.01,ETH
VIA,81000,,0.1,0.00001,0.1,BNB
BLZ,12656600,,0.0001,0.00000001,1,BTC
BLZ,2188000,,0.01,0.00000001,1,ETH
BLZ,468900,,0.1,0.000001,1,BNB
AE,597400,,0.0001,0.00000001,1,BTC
AE,554600,,0.01,0.000001,0.01,ETH
AE,123100,,0.1,0.00001,0.1,BNB
NCASH,153000000,,0.0001,0.00000001,1,BTC
NCASH,67411900,,0.01,0.00000001,1,ETH
POA,8586800,,0.0001,0.00000001,1,BTC
POA,4744600,,0.01,0.00000001,1,ETH
POA,2311900,,0.1,0.000001,1,BNB
ZIL,44522800,,0.0001,0.00000001,1,BTC
ZIL,19905900,,0.01,0.00000001,1,ETH
ZIL,9231200,,0.1,0.0000001,1,BNB
ONT,672900,,0.0001,0.0000001,0.01,BTC
ONT,248200,,0.01,0.000001,0.01,ETH
ONT,126500,,0.1,0.00001,0.1,BNB
STORM,82130100,,0.0001,0.00000001,1,BTC
STORM,24609300,,0.01,0.00000001,1,ETH
STORM,6673100,,0.1,0.0000001,1,BNB
QTUM,24800,,0.1,0.00001,0.1,BNB
QTUM,171500,,10,0.001,0.001,USDT
XEM,8118400,,0.0001,0.00000001,1,BTC
XEM,2766300,,0.01,0.00000001,1,ETH
XEM,551800,,0.1,0.000001,1,BNB
WAN,1116700,,0.0001,0.00000001,1,BTC
WAN,1177500,,0.01,0.000001,0.01,ETH
WAN,101300,,0.1,0.00001,0.1,BNB
WPR,12499800,,0.0001,0.00000001,1,BTC
WPR,11275100,,0.01,0.00000001,1,ETH
QLC,21208000,,0.0001,0.00000001,1,BTC
QLC,3120800,,0.01,0.00000001,1,ETH
SYS,10148300,,0.0001,0.00000001,1,BTC
SYS,699000,,0.01,0.00000001,1,ETH
SYS,453500,,0.1,0.000001,1,BNB
QLC,1132700,,0.1,0.000001,1,BNB
GRS,2609800,,0.0001,0.00000001,1,BTC
GRS,194900,,0.01,0.00000001,1,ETH
ADA,44681800,,10,0.00001,0.1,USDT
ADA,4526300,,0.1,0.000001,1,BNB
GNT,7038900,,0.0001,0.00000001,1,BTC
GNT,2165800,,0.01,0.00000001,1,ETH
GNT,442900,,0.1,0.000001,1,BNB
LOOM,4695700,,0.0001,0.00000001,1,BTC
LOOM,4655200,,0.01,0.00000001,1,ETH
LOOM,588900,,0.1,0.000001,1,BNB
XRP,21663800,,10,0.00001,0.1,USDT
REP,39600,,0.0001,0.000001,0.001,BTC
REP,17800,,0.01,0.00001,0.001,ETH
REP,2600,,0.1,0.0001,0.01,BNB
BTC,200,,10,0.01,0.000001,TUSD
ETH,2300,,10,0.01,0.00001,TUSD
ZEN,38800,,0.0001,0.0000001,0.01,BTC
ZEN,3000,,0.01,0.00001,0.001,ETH
ZEN,4300,,0.1,0.0001,0.01,BNB
SKY,295400,,0.0001,0.00000001,1,BTC
SKY,61200,,0.01,0.00001,0.001,ETH
SKY,18400,,0.1,0.00001,0.1,BNB
EOS,674000,,10,0.0001,0.01,USDT
EOS,108500,,0.1,0.0001,0.01,BNB
CVC,4964200,,0.0001,0.00000001,1,BTC
CVC,793400,,0.01,0.00000001,1,ETH
CVC,343400,,0.1,0.000001,1,BNB
THETA,5038700,,0.0001,0.00000001,1,BTC
THETA,1737100,,0.01,0.00000001,1,ETH
THETA,755000,,0.1,0.000001,1,BNB
XRP,1405600,,0.1,0.00001,0.1,BNB
TUSD,1720800,,10,0.0001,0.01,USDT
IOTA,3767600,,10,0.0001,0.01,USDT
XLM,11819800,,10,0.00001,0.1,USDT
IOTX,62047600,,0.0001,0.00000001,1,BTC
IOTX,10494500,,0.01,0.00000001,1,ETH
QKC,24155000,,0.0001,0.00000001,1,BTC
QKC,6874500,,0.01,0.00000001,1,ETH
AGI,8524400,,0.0001,0.00000001,1,BTC
AGI,3979700,,0.01,0.00000001,1,ETH
AGI,444800,,0.1,0.000001,1,BNB
NXS,820500,,0.0001,0.00000001,1,BTC
NXS,121800,,0.01,0.000001,0.01,ETH
NXS,66500,,0.1,0.00001,0.1,BNB
ENJ,963900,,0.1,0.000001,1,BNB
DATA,10846500,,0.0001,0.00000001,1,BTC
DATA,3264700,,0.01,0.00000001,1,ETH
ONT,840800,,10,0.0001,0.01,USDT
TRX,10168100,,0.1,0.000001,1,BNB
TRX,76622600,,10,0.00001,0.1,USDT
ETC,159700,,10,0.0001,0.01,USDT
ETC,3900,,0.1,0.0001,0.01,BNB
ICX,2173500,,10,0.0001,0.01,USDT
SC,328000000,,0.0001,0.00000001,1,BTC
SC,61896000,,0.01,0.00000001,1,ETH
SC,15000500,,0.1,0.0000001,1,BNB
NPXS,476000000,,0.01,0.00000001,1,ETH
KEY,56242900,,0.0001,0.00000001,1,BTC
KEY,32748000,,0.01,0.00000001,1,ETH
NAS,279400,,0.0001,0.0000001,0.01,BTC
NAS,71800,,0.01,0.000001,0.01,ETH
NAS,45700,,0.1,0.00001,0.1,BNB
MFT,138000000,,0.0001,0.00000001,1,BTC
MFT,35855500,,0.01,0.00000001,1,ETH
MFT,9292000,,0.1,0.0000001,1,BNB
DENT,125000000,,0.01,0.00000001,1,ETH
ARDR,3945800,,0.0001,0.00000001,1,BTC
ARDR,358500,,0.01,0.00000001,1,ETH
ARDR,331400,,0.1,0.000001,1,BNB
NULS,353500,,10,0.0001,0.01,USDT
HOT,1870000000,,0.0001,0.00000001,1,BTC
HOT,565000000,,0.01,0.00000001,1,ETH
VET,116000000,,0.0001,0.00000001,1,BTC
VET,52447600,,0.01,0.00000001,1,ETH
VET,78479400,,10,0.000001,1,USDT
VET,30626300,,0.1,0.0000001,1,BNB
DOCK,14703300,,0.0001,0.00000001,1,BTC
DOCK,5313300,,0.01,0.00000001,1,ETH
POLY,6854100,,0.0001,0.00000001,1,BTC
POLY,285600,,0.1,0.000001,1,BNB
HC,276700,,0.0001,0.0000001,0.01,BTC
HC,66400,,0.01,0.000001,0.01,ETH
GO,7814200,,0.0001,0.00000001,1,BTC
GO,949900,,0.1,0.0000001,1,BNB
PAX,2450000,,10,0.0001,0.01,USDT
RVN,40636700,,0.0001,0.00000001,1,BTC
RVN,2440800,,0.1,0.000001,1,BNB
DCR,28900,,0.0001,0.000001,0.001,BTC
DCR,1500,,0.1,0.001,0.001,BNB
MITH,20880600,,0.0001,0.00000001,1,BTC
MITH,813300,,0.1,0.000001,1,BNB
BCHABC,31000,,0.0001,0.000001,0.001,BTC
BCHABC,22000,,10,0.01,0.00001,USDT
BNB,57700,,10,0.0001,0.01,PAX
BTC,500,,10,0.01,0.000001,PAX
ETH,2800,,10,0.01,0.00001,PAX
XRP,971300,,10,0.00001,0.1,PAX
EOS,26100,,10,0.0001,0.01,PAX
XLM,187400,,10,0.00001,0.1,PAX
REN,8259300,,0.0001,0.00000001,1,BTC
REN,1865400,,0.1,0.000001,1,BNB
BNB,35400,,10,0.0001,0.01,TUSD
XRP,946000,,10,0.00001,0.1,TUSD
EOS,26500,,10,0.0001,0.01,TUSD
XLM,389700,,10,0.00001,0.1,TUSD
BNB,27700,,10,0.0001,0.01,USDC
BTC,600,,10,0.01,0.000001,USDC
ETH,3800,,10,0.01,0.00001,USDC
XRP,1492000,,10,0.00001,0.1,USDC
EOS,34600,,10,0.0001,0.01,USDC
XLM,1401500,,10,0.00001,0.1,USDC
USDC,1523100,,10,0.0001,0.01,USDT
ADA,2231500,,10,0.00001,0.1,TUSD
TRX,7502800,,10,0.00001,0.1,TUSD
NEO,13500,,10,0.001,0.001,TUSD
TRX,14698800,,10,0.00001,0.1,XRP
XZC,20400,,10,0.001,0.001,XRP
PAX,554400,,10,0.0001,0.01,TUSD
USDC,974900,,10,0.0001,0.01,TUSD
USDC,460200,,10,0.0001,0.01,PAX
